state,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Virginia,2020-05-06,-30,-8,3,-45,-48,19
Virginia,2020-05-07,-28,-4,44,-42,-47,18
Virginia,2020-05-08,-32,-7,3,-45,-46,20
Virginia,2020-05-09,-32,4,8,-36,-28,10
Washington,2020-02-15,2,-1,8,8,-3,0
Washington,2020-02-16,15,3,19,5,-1,-1
Washington,2020-02-17,12,2,63,-7,-35,6
Washington,2020-02-18,5,2,52,7,-4,0
Washington,2020-02-19,4,3,60,7,-2,-1
Washington,2020-02-20,4,3,53,5,-2,0
Washington,2020-02-21,3,-1,55,4,-1,-1
Washington,2020-02-22,4,0,44,9,0,-1
Washington,2020-02-23,10,0,-11,3,1,0
Washington,2020-02-24,3,-1,15,3,4,-1
Washington,2020-02-25,6,1,36,5,2,0
Washington,2020-02-26,9,4,48,7,2,-1
Washington,2020-02-27,9,4,57,9,2,-1
Washington,2020-02-28,7,2,31,6,3,-2
Washington,2020-02-29,7,7,31,5,2,-1
Washington,2020-03-01,18,10,27,9,2,-1
Washington,2020-03-02,4,8,-7,-3,2,0
Washington,2020-03-03,6,11,23,-2,-1,1
Washington,2020-03-04,5,9,56,-2,-2,0
Washington,2020-03-05,2,7,21,-8,-6,2
Washington,2020-03-06,-2,2,13,-12,-8,3
Washington,2020-03-07,-3,1,18,-6,-1,1
Washington,2020-03-08,7,2,34,-5,-2,1
Washington,2020-03-09,2,3,49,-15,-8,3
Washington,2020-03-10,1,5,37,-15,-11,4
Washington,2020-03-11,1,9,46,-16,-11,4
Washington,2020-03-12,-1,15,39,-20,-14,5
Washington,2020-03-13,-9,17,-15,-28,-17,7
Washington,2020-03-14,-19,8,3,-22,-8,6
Washington,2020-03-15,-10,5,28,-22,-11,4
Washington,2020-03-16,-13,19,45,-31,-26,9
Washington,2020-03-17,-26,8,62,-33,-35,13
Washington,2020-03-18,-28,5,93,-36,-38,14
Washington,2020-03-19,-31,3,87,-41,-40,15
